ID,simSEED,sampleSEED,rms,noiseSIGMA,bendfreq,lowalpha,highalpha,sharpness,period,A1,NightsperWINDOW,OBSperiod,WINDOWwidth,dataLOSSfrac,NumofWINDOW
1035,13214.0,1449.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1036,28031.0,40505.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1037,43706.0,25965.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1038,6229.0,55324.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1039,67292.0,33553.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1040,79129.0,36192.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1041,65193.0,89749.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1042,36189.0,451.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1043,45216.0,1130.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1044,23210.0,49077.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1045,36805.0,12317.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1046,14921.0,33555.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1047,64477.0,84560.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1048,75676.0,71384.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1049,235.0,81944.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1050,16287.0,19857.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1051,38728.0,75545.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1052,41734.0,4011.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1053,62150.0,58416.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1054,67929.0,85975.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1055,53618.0,40302.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1056,58700.0,17469.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1057,12012.0,88452.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1058,16292.0,78486.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1059,10299.0,93845.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1060,81051.0,85228.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1061,55095.0,68650.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1062,42299.0,89017.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1063,4831.0,34185.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1064,55816.0,27155.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1065,69199.0,53453.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1066,64293.0,59745.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1067,31507.0,15056.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1068,75357.0,17018.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1069,92149.0,83481.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1070,58187.0,18275.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1071,69541.0,2131.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1072,26833.0,87382.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1073,18106.0,40686.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1074,71590.0,99386.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1075,35876.0,72715.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1076,85800.0,30470.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1077,11554.0,13463.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1078,26678.0,846.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1079,33204.0,51555.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1080,69303.0,73964.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1081,93303.0,57894.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1082,37804.0,27713.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1083,53326.0,62922.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1084,48011.0,74342.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1085,90436.0,19397.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1086,21118.0,26802.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1087,53722.0,55713.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1088,53451.0,65691.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1089,63006.0,39473.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1090,60605.0,729.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1091,35791.0,52343.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1092,12324.0,252.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1093,2701.0,59212.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1094,73050.0,74500.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1095,10365.0,56423.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1096,19340.0,37119.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1097,69616.0,47437.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1098,56365.0,88741.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
1099,55354.0,60915.0,0.15,0.015,0.0054794520547945,-1.0,-3.0,10.0,1.25,0,15,6,60,0.2,20
